ticker,pattern_type,description,entry_label,exit_label,train_n,train_mean_ret,train_std_ret,train_t_stat,train_p_value,train_win_rate,train_sharpe,test_n,test_mean_ret,test_std_ret,test_t_stat,test_p_value,test_win_rate,test_sharpe,test_win_ci_lo,test_win_ci_hi,fdr_p_value,condition,significant
crude,vix_regime,[vix_low] Buy Wed_Close -> Sell Close+3d,Wed_Close,Close+3d,190,0.001078400779359479,0.03330949673654607,0.3314016085803601,0.7407083177929419,0.5368421052631579,0.3237517480041341,82,-0.001025987148014566,0.03877838146711601,-0.30204681955648,0.7633905599427417,0.4878048780487805,-0.26457709404003904,0.3826071216079986,0.5940941514344423,0.9988106200615792,vix_low,False
crude,vix_regime,[vix_low] Buy Thu_Close -> Sell Close+3d,Thu_Close,Close+3d,200,0.000682199392546367,0.03291888367799932,0.17430666438776887,0.8618016611182843,0.52,0.2072364905260446,86,-0.0034548445370849524,0.03441973047256529,-0.9991817817597634,0.3205426461265772,0.5116279069767442,-1.0037395672922782,0.4077653726724701,0.614496029617783,0.9988106200615792,vix_low,False
crude,vix_regime,[vix_low] Buy Fri_Close -> Sell Close+3d,Fri_Close,Close+3d,208,-0.0006322955533387107,0.039254452375760696,-0.3327038699377033,0.739694523357162,0.4951923076923077,-0.16107613660893866,90,-0.001101789869898628,0.032859101347234326,-0.39540963018728736,0.6934867843256327,0.5444444444444444,-0.3353073653036354,0.4418444949284148,0.6434055434341024,0.9988106200615792,vix_low,False
crude,vix_regime,[vix_high] Buy Mon_Close -> Sell Close+5d,Mon_Close,Close+5d,186,-0.007830485176194972,0.21394705561405497,-0.6609983201987537,0.5094357031968552,0.543010752688172,-0.36600107226156925,81,0.0034331398695536457,0.06597761848873382,0.1174428176598388,0.9068035124173087,0.5185185185185185,0.5203491650945056,0.4113545922111773,0.6240054198583734,0.9988106200615792,vix_high,False
crude,vix_regime,[vix_high] Buy Tue_Close -> Sell Close+5d,Tue_Close,Close+5d,204,0.003374806984793487,0.102546222382305,0.112261937683574,0.9107266499373068,0.5049019607843137,0.329101053787412,88,0.003271021219755854,0.06331882591149252,0.10373452799097456,0.9176187831042598,0.48863636363636365,0.5165953683866643,0.38687686309205005,0.5913465128073245,0.9988106200615792,vix_high,False
crude,vix_regime,[vix_high] Buy Wed_Close -> Sell Close+5d,Wed_Close,Close+5d,205,0.0057308344202031455,0.0847064406324274,0.5335032358725428,0.5942660583769506,0.5219512195121951,0.6765523822528864,89,0.005940748918393457,0.05759057012145177,0.5495735755048341,0.5840039274854033,0.5168539325842697,1.0315488986938508,0.4145040372503965,0.6178090637732825,0.9988106200615792,vix_high,False
crude,vix_regime,[vix_high] Buy Thu_Close -> Sell Close+5d,Thu_Close,Close+5d,190,0.00261701186825397,0.06898103632981337,0.01000303047542698,0.9920294202479898,0.5052631578947369,0.3793813499323881,82,0.00459410983472349,0.044948044698231326,0.40592656609299405,0.685866911404115,0.524390243902439,1.0220933670345542,0.4176454367591391,0.628952017155979,0.9988106200615792,vix_high,False
crude,vix_regime,[vix_high] Buy Fri_Close -> Sell Close+5d,Fri_Close,Close+5d,179,0.003973097653523508,0.06905077448777791,0.27171425105856717,0.7861566270887369,0.5195530726256983,0.5753878479996994,77,0.005950296905912805,0.0577216886885153,0.5110118139717001,0.6108241106957335,0.5454545454545454,1.0308598104297522,0.43472886644893927,0.6518602163994951,0.9988106200615792,vix_high,False
crude,vix_regime,[vix_low] Buy Mon_Close -> Sell Close+5d,Mon_Close,Close+5d,172,0.0037985712201345253,0.044760072165793016,1.0275997368376795,0.30558951309619753,0.5058139534883721,0.8486517193413972,75,-0.001859210021925375,0.040962806162231566,-0.44949575828439575,0.6543879031711384,0.4266666666666667,-0.4538776016862828,0.32100563365956936,0.53947411307312,0.9988106200615792,vix_low,False
crude,vix_regime,[vix_low] Buy Tue_Close -> Sell Close+5d,Tue_Close,Close+5d,193,0.0017504450137699648,0.03968680380850242,0.5129737337380428,0.6085593926180514,0.5595854922279793,0.44106474842777665,83,-0.0021284793604604297,0.045595287448268344,-0.4785732428096136,0.6335158524886615,0.4939759036144578,-0.4668200332929948,0.38908687956649984,0.5993979019207136,0.9988106200615792,vix_low,False
