indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
SP500,ret_NIFTYFMCG,0,0.2052874479759589,4.510176919711619e-15,0.11042137711269047,2.8545115902252174e-05,0.07404170357284424,2.73191374706595e-05,,0.0,all,1773591017.83056,4.510176919711619e-15,other,True,False,0.2052874479759589
INDIAVIX,ret_NIFTY50,8,-0.1892869579715809,1.7734945555856145e-10,0.024428450907638365,0.4144943431638671,0.0167728096914759,0.40113115184096326,8.430248029938274e-11,0.05297150960475294,all,1773591017.83056,1.7734945555856145e-10,other,True,False,0.1892869579715809
INDIAVIX,ret_BANKNIFTY,8,-0.18545262269498636,4.151360083465037e-10,0.010784669227213196,0.7186910255107392,0.007377857353065864,0.7118920941156996,2.5263938016520153e-09,0.12145543079026666,all,1773591017.83056,4.151360083465037e-10,other,True,False,0.18545262269498636
INDIAVIX,ret_NIFTYFMCG,11,-0.16305921956547045,2.839048338222839e-06,-0.019553308875380253,0.5770142120935557,-0.011576449552949414,0.6207458049279124,9.241551831256097e-10,0.0,all,1773591017.83056,2.839048338222839e-06,other,True,False,0.16305921956547045
wiki_Stock_market_crash,ret_NIFTYFMCG,0,-0.15466711510773345,2.5719029261088764e-09,-0.11874421730615906,5.069355317715619e-06,-0.07964839825418574,4.887675114383158e-06,,0.01890522663397043,all,1773591017.83056,2.5719029261088764e-09,digital,True,False,0.15466711510773345
US10Y,ret_NIFTYFMCG,1,-0.15415679795112958,1.4380364152849472e-07,-0.0511785187169407,0.08237592008886974,-0.03451046197204559,0.07927535712668962,0.000650609123173085,0.014197811848483344,all,1773591017.83056,1.4380364152849472e-07,other,True,False,0.15415679795112958
GOLD,ret_NIFTY50,5,-0.15147454547591802,8.864521230504623e-06,-0.06679061196107618,0.051174351181094785,-0.04492022758705603,0.04954297575670335,0.0001218977281517028,0.04353239920149887,all,1773591017.83056,8.864521230504623e-06,other,True,False,0.15147454547591802
US10Y,ret_NIFTY50,0,0.1504721876458015,1.0056787485674078e-08,0.07857631602978495,0.0028859469690928124,0.05424273424687485,0.002076048742353476,,0.017513221096784548,all,1773591017.83056,1.0056787485674078e-08,other,True,False,0.1504721876458015
US10Y,ret_BANKNIFTY,0,0.1381755732442641,1.4659874161855737e-07,0.06447498176390161,0.014538789452603885,0.044077742334896294,0.012345628965249043,,0.005666333367851273,all,1773591017.83056,1.4659874161855737e-07,other,True,False,0.1381755732442641
GOLD,ret_BANKNIFTY,5,-0.13251248728337156,0.00010473456981888506,-0.06444387228998233,0.06007431236230465,-0.04308938267794915,0.05973612331907444,0.011360122312754196,1.1626036679146523e-05,all,1773591017.83056,0.00010473456981888506,other,True,False,0.13251248728337156
