date,gap_pct,abs_gap_pct,intraday_return,gap_filled,gap_direction
2015-03-19,0.007316432589543803,0.007316432589543803,-0.013120802121829754,True,1.0
2015-03-20,-0.0007817340244984042,0.0007817340244984042,-0.006606474045752277,False,-1.0
2015-03-23,0.002409246767712607,0.002409246767712607,-0.004731324963084298,True,1.0
2015-03-24,-0.0016197809943717092,0.0016197809943717092,0.000691151013522286,True,-1.0
2015-03-25,0.003037615193722986,0.003037615193722986,-0.004446379838792946,True,1.0
2015-03-26,-0.006546819835616326,0.006546819835616326,-0.01566968555885457,False,-1.0
2015-03-27,0.006455123301962619,0.006455123301962619,-0.006503050187589328,True,1.0
2015-03-30,0.005940226145143401,0.005940226145143401,0.012078442490531966,False,1.0
2015-03-31,0.004156683760506847,0.004156683760506847,-0.004291900540776262,True,1.0
2015-04-01,-0.0008597108335296196,0.0008597108335296196,0.012087862881359464,True,-1.0
2015-04-06,0.0034415262410831273,0.0034415262410831273,0.0051185713383807615,True,1.0
2015-04-07,0.002834883033305675,0.002834883033305675,-0.0027808773246273395,True,1.0
2015-04-08,0.004462939101032042,0.004462939101032042,0.0017760988355612684,False,1.0
2015-04-09,0.00479663577685373,0.00479663577685373,0.0025238812363872964,True,1.0
2015-04-10,-0.0004499954889203768,0.0004499954889203768,0.0006838113668948487,True,-1.0
