,RSI2_MeanRev,RSI2_BankNifty,Pairs_nifty50_vs_banknifty,DualMom_nifty50_vs_gold,FundManager,Nifty50_BuyHold
2015-10-29,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48310.39319683595
2015-10-30,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48036.73190266165
2015-11-02,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47947.39780114811
2015-11-03,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48006.360634555946
2015-11-04,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47884.27069582076
2015-11-05,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47379.5330222692
2015-11-06,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47372.6817480776
2015-11-09,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47139.81984987451
2015-11-10,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46354.572515968175
2015-11-13,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46228.90863157023
2015-11-16,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46493.04037331418
2015-11-17,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46677.36465796381
2015-11-18,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46047.55924229328
2015-11-19,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46708.33497635962
2015-11-20,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46790.52118654764
2015-11-23,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46747.04642034882
2015-11-24,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46641.93054250343
2015-11-26,50000.0,50000.0,53442.907342483755,,51689.82885921533,46952.81147096392
2015-11-27,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47303.59903598268
2015-11-30,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47259.228602359835
2015-12-01,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47376.255693740364
2015-12-02,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47236.002317568535
2015-12-03,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46835.78437958339
2015-12-04,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46345.93572295075
2015-12-07,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46247.668211285854
2015-12-08,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45868.297804998314
2015-12-09,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45337.05651812662
2015-12-10,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45758.71231406613
2015-12-11,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45324.848687457554
2015-12-14,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45560.68838904443
2015-12-15,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,45863.53157477759
2015-12-16,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46161.31191315609
2015-12-17,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46717.86452878995
2015-12-18,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46227.123112744404
2015-12-21,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46658.90460339323
2015-12-22,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46370.950434579
2015-12-23,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46846.50621657169
2015-12-24,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46817.3214170017
2015-12-28,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47199.07639240516
2015-12-29,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47221.70944292859
2015-12-30,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47026.95993842461
