ticker,pattern_type,description,entry,exit,condition,significant,train_n,train_mean_ret_bps,train_std_ret_bps,train_win_rate,train_sharpe,train_p_value,fdr_p_value,test_n,test_mean_ret_bps,test_std_ret_bps,test_win_rate,test_win_ci_lo,test_win_ci_hi,test_sharpe,test_p_value
indiavix,dow_ohlc,Buy Tue_Close → Sell Thu_Close,Tue_Close,Thu_Close,,True,359,-131.49449870192743,620.3520869522665,0.3593314763231198,-2.1196752854971113,6.549540531835601e-07,0.00015322446863886115,155,-123.59730462625083,631.4989172036057,0.2838709677419355,0.21878541774349364,0.35941072231049714,-1.9572053294020297,0.002242126067168608
indiavix,dow_ohlc,Buy Tue_Open → Sell Thu_Close,Tue_Open,Thu_Close,,True,359,-165.4858978399526,748.6594685529401,0.3398328690807799,-2.210429504883108,6.844697039049607e-07,0.00015322446863886115,155,-196.8181314350083,744.2232661275339,0.33548387096774196,0.26592684807262523,0.41299857196847223,-2.6446113739378925,0.00016745455884634625
niftyfmcg,dow_ohlc,Buy Wed_Close → Sell Thu_Open,Wed_Close,Thu_Open,,True,358,14.330757413063536,49.213560936382315,0.6927374301675978,2.911952953696788,8.295251153621793e-07,0.00016569886254066905,154,11.692799829500744,33.12433706966992,0.6753246753246753,0.5978820258623505,0.7442331072837909,3.529972480628806,0.00014661123869910627
indiavix,dow_ohlc,Buy Wed_Close → Sell Fri_Close,Wed_Close,Fri_Close,,True,349,-160.39639339240767,729.2609537616909,0.332378223495702,-2.1994375616169664,9.678552460065615e-07,0.00017824022210456838,150,-185.66069893489433,568.178054287041,0.2733333333333333,0.20834036087778668,0.3496465555349391,-3.267649947653546,5.13252240108477e-06
niftyfmcg,dow_ohlc,Buy Tue_Close → Sell Wed_Open,Tue_Close,Wed_Open,,True,357,14.268637737827204,49.32906660523011,0.6918767507002801,2.892541602705771,1.0204255375094338e-06,0.00018069381441128586,154,10.282110750694947,36.14567604535767,0.7012987012987013,0.6248287179428421,0.7679701386323573,2.844630914578099,0.0024064958941535405
indiavix,dow_ohlc,Buy Wed_Open → Sell Fri_Close,Wed_Open,Fri_Close,,True,349,-179.03026982631096,816.2338294194666,0.3667621776504298,-2.1933698821775547,1.6042477196982872e-06,0.0002735539444996635,150,-208.42023542034914,733.1014247927344,0.32666666666666666,0.2567570339087464,0.40523296099510275,-2.842993184459772,8.33831935023974e-05
nifty50,dow_ohlc,Buy Mon_Close → Sell Tue_Open,Mon_Close,Tue_Open,,True,357,14.824069808918328,56.900484050520895,0.7198879551820728,2.6052625133656697,1.992167377272861e-06,0.0003275692358915804,154,16.32925878555025,31.199650349123228,0.7597402597402597,0.6864667010177107,0.8203705332728691,5.233795444123985,2.033519959814981e-09
indiavix,dow_ohlc,Buy Wed_Close → Sell Fri_Open,Wed_Close,Fri_Open,,True,349,-104.91748233415967,550.2811750193447,0.28939828080229224,-1.9066158737934547,3.2867458937865054e-06,0.0005117864107615062,150,-124.04970928566442,338.68297970079664,0.28,0.21432932072113417,0.35665798050298214,-3.66270868985663,5.7304973428811367e-08
indiavix,dow_ohlc,Buy Mon_Close → Sell Thu_Close,Mon_Close,Thu_Close,,True,354,-150.36708980939198,817.724709459332,0.3107344632768362,-1.8388473293024565,4.775422131900628e-06,0.0007092272095248546,152,-200.3918600365589,709.7537122617573,0.3223684210526316,0.2532349895684616,0.4002593277383423,-2.8233999565564,2.324835881257372e-05
indiavix,dow_ohlc,Buy Thu_Open → Sell Fri_Close,Thu_Open,Fri_Close,,True,355,-158.7851049671207,724.3592563999912,0.3436619718309859,-2.192076701777378,6.645500923099003e-06,0.0008879407304219714,153,-169.0029442643427,576.3028166807127,0.30718954248366015,0.23955807804271562,0.3842662134717805,-2.932537190044221,0.00010430461357018962
indiavix,dow_ohlc,Buy Wed_Open → Sell Fri_Open,Wed_Open,Fri_Open,,True,349,-123.94268340054032,646.905760257439,0.3524355300859599,-1.9159310523254078,6.750201034919417e-06,0.0008879407304219714,150,-148.72036449838444,540.8426569022953,0.2866666666666667,0.22033702683064219,0.3636506592048645,-2.749789843689256,5.8634827600384126e-05
indiavix,dow_ohlc,Buy Wed_Close → Sell Thu_Close,Wed_Close,Thu_Close,,True,358,-113.29701045643878,546.023018776828,0.30726256983240224,-2.074949343898372,8.472058365223234e-06,0.001054198830094264,154,-140.70255133143993,347.9262261744955,0.3051948051948052,0.23793990068132437,0.38193217360074055,-4.044034072351687,8.939523143613903e-08
niftyfmcg,dow_ohlc,Buy Thu_Close → Sell Fri_Open,Thu_Close,Fri_Open,,True,355,14.646685907308271,57.707130000155644,0.6816901408450704,2.538106800194147,1.6815608669197625e-05,0.0020373437450785757,153,7.435313591870475,34.434007910527605,0.6209150326797386,0.5419662906820014,0.6939405095546706,2.1592936875632347,0.028613456197879892
indiavix,dow_ohlc,Buy Wed_Open → Sell Thu_Close,Wed_Open,Thu_Close,,True,358,-128.7085228572375,650.1361824335241,0.36312849162011174,-1.979716347665327,2.8148190479915307e-05,0.0033229299735776942,154,-163.5837952128975,526.4228727410126,0.2857142857142857,0.22025995269045742,0.36159932901981406,-3.1074598708285377,3.703748568922686e-05
indiavix,dow_ohlc,Buy Thu_Open → Sell Thu_Close,Thu_Open,Thu_Close,,True,381,-100.17502226357914,542.5613491047291,0.32020997375328086,-1.8463353946770478,3.0554981597290686e-05,0.0035168783818481583,164,-119.37779600474471,357.2576276613581,0.3231707317073171,0.25634661591669566,0.3980894714418614,-3.341504470770938,2.465113336072685e-06
niftyfmcg,dow_ohlc,Buy Mon_Close → Sell Tue_Open,Mon_Close,Tue_Open,,True,352,13.527859505841564,55.599650528078946,0.71875,2.433083549510751,4.488431583345939e-05,0.004805753258075513,152,15.42320254427648,28.300630915705074,0.7763157894736842,0.7037246849877246,0.8352841547572472,5.449773395588001,6.680070873891545e-09
indiavix,dow_ohlc,Buy Mon_Open → Sell Wed_Close,Mon_Open,Wed_Close,,True,352,229.32915169601762,887.6032419346703,0.5852272727272727,2.5836898837385815,4.913946502626548e-05,0.005141774931384687,152,180.27517388455618,868.8585406625232,0.5789473684210527,0.4994589186105389,0.6545436070308817,2.074850685671945,0.04105191198551483
nifty50,dow_ohlc,Buy Wed_Close → Sell Thu_Open,Wed_Close,Thu_Open,,True,361,14.414311961079193,66.26788301471124,0.7008310249307479,2.175158056260718,6.104404450525273e-05,0.006010727660675426,155,7.230445372009861,37.96124714079724,0.5935483870967742,0.5148677004466578,0.6677041195299729,1.9046912092198485,0.02377534849263065
